	auth_11	year	auth_3	doi	auth_9	auth_13	auth_5	auth_7	auth_12	journal	auth_1	pmid	auth_2	auth_0	auth_8	auth_15	auth_10	title	auth_14	auth_4	auth_6
0		2019	Woods S	10.1080/09638237.2018.1521924			Dobscha SK			J Ment Health	Denneson LM	30468100	Williams HB	Pisciotta M				Providing mental health care in the context of online mental health notes: advice from patients and mental health clinicians.		Tuepker A	
1	Ofotokun I	2018	Greenblatt RM	10.1093/ije/dyy021	Minkoff H	Gange S	Tien PC	Anastos K	Fischl MA	Int J Epidemiol	Ramirez C	29688497	Benning L	Adimora AA	Cohen M		Wingood G	Cohort Profile: The Women's Interagency HIV Study (WIHS).		Kempf MC	Kassaye SG
2		2018		10.1155/2018/9101207						Case Rep Med	Bhowansingh R	30532787		Sperling M				Chorea Hyperglycemia Basal Ganglia Syndrome in a 63-Year-Old Male.			
3	Koff W	1996	Bian Z	10.1016/0264-410x(95)00191-3	O'Hagan D	Wang CY	Li J	Kuebler P	Allsopp C	Vaccine	Qiu H	8735553	Chend PD	Hioe CE	McGee P		Zamb T	Comparison of adjuvant formulations for cytotoxic T cell induction using synthetic peptides.	Nixon DF	Li ML	Singh M
4		2019	Putera MA	10.3889/oamjms.2019.814			Kalsum U			Open Access Maced J Med Sci	Sintong L	32165954	Prasetio B	Sananta P				Elbow Fracture in Children at Saiful Anwar General Hospital, Nine Years Experiences.		Andarini S	Dradjat RS
5	Whitlow CT	2020	Masters A	10.1007/s11060-019-03368-9	Su J	Laxton AW	Lanier C	Cramer CK	Wang G	J Neurooncol	Hughes RT	31894518	Farris M	LeCompte MC	Watabe K	Chan MD	Ruiz J	Impact of brain metastasis velocity on neurologic death for brain metastasis patients experiencing distant brain failure after initial stereotactic radiosurgery.	Tatter SB	Soike MH	Glenn C
6		2020	Qian F	10.1097/INF.0000000000002742			Zhuang L	Sun D		Pediatr Infect Dis J	Zhao W	32404780	Wang A	Zhao Y	Gao G			First Case of Coronavirus Disease 2019 in Childhood Leukemia in China.		Wang S	Zhang F
7		2015	Aban I	10.1038/jhh.2014.83	Gupta H		Lloyd SG	Dell'Italia LJ		J Hum Hypertens	Schiros CG	25231508	Gaddam KK	Gupta A	Calhoun DA			Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy.		Denney TS	Oparil S
8		2003		10.4314/wajm.v22i1.27987						West Afr J Med	Mabogunje OA	12769315	Pezzella AT	Adebonojo SA				Residency training in the United States: what foreign medical graduates should know.			
9		1999		10.1016/s0091-6749(99)70196-x						J Allergy Clin Immunol	Peterson WR	10359903		Teuber SS				Systemic allergic reaction to coconut (Cocos nucifera) in 2 subjects with hypersensitivity to tree nut and demonstration of cross-reactivity to legumin-like seed storage proteins: new coconut and walnut food allergens.			
